-122.39	49.03	54.0	5.72	8.34	11.14	14.41	17.65	20.13	23.22	23.57	20.73	14.77	8.93	5.78	-0.11	1.16	2.60	4.64	7.56	10.13	11.83	11.91	9.53	6.09	2.73	0.25	183.95	140.63	131.98	107.55	92.03	74.34	51.35	48.53	68.28	134.88	213.72	200.15
-121.79	49.27	112.0	4.52	7.31	10.63	14.36	17.80	20.27	23.60	23.92	20.81	14.33	7.85	4.59	-1.05	0.42	2.22	4.54	7.66	10.35	12.29	12.38	9.79	6.06	2.25	-0.53	235.04	179.04	163.06	128.61	104.96	94.03	65.83	58.15	88.87	176.25	276.11	246.10
-122.59	58.83	309.0	-16.19	-9.87	-0.62	9.86	17.03	21.60	23.34	21.56	15.72	5.98	-8.12	-14.97	-25.00	-21.22	-13.89	-3.54	3.17	8.36	10.41	8.50	3.14	-3.73	-16.38	-23.23	22.49	17.55	15.93	17.79	44.59	64.05	81.68	65.18	39.38	30.07	24.64	20.09
-120.68	56.24	703.0	-10.13	-6.00	0.43	9.36	15.88	19.34	21.30	20.31	15.09	8.12	-3.11	-8.20	-19.25	-15.84	-10.05	-2.22	3.11	7.31	9.31	7.96	3.67	-1.33	-11.14	-16.94	27.80	23.04	21.81	18.15	39.46	70.65	79.52	57.15	43.84	25.96	28.36	27.72
-119.38	49.43	1516.0	-3.46	-0.74	2.58	7.21	12.11	15.91	20.04	20.22	15.50	8.30	-0.21	-3.86	-11.13	-9.33	-6.80	-3.35	0.58	3.71	6.37	6.38	2.63	-1.90	-7.14	-11.09	76.71	61.45	55.90	44.67	60.35	63.18	46.23	43.71	37.11	38.68	72.59	85.95
-122.72	53.92	599.0	-5.18	-0.28	5.65	12.00	17.31	20.25	22.90	22.41	17.00	9.84	1.04	-3.72	-13.47	-9.83	-5.51	-1.18	3.27	7.15	8.96	8.18	4.13	0.10	-5.80	-11.34	58.64	35.37	31.99	29.79	45.22	65.81	58.80	48.54	52.22	59.81	52.47	60.02
-123.44	48.58	49.0	6.67	8.18	10.41	13.34	16.68	19.26	21.96	21.97	19.20	13.88	9.20	6.74	1.40	2.03	2.93	4.67	7.35	9.64	11.29	11.42	9.43	6.39	3.53	1.75	143.05	108.55	80.24	48.54	37.99	32.41	19.67	26.52	31.61	81.76	159.25	155.57
-119.60	49.57	358.0	0.73	4.14	9.95	15.49	20.31	24.14	27.77	27.32	21.69	14.02	6.06	1.24	-4.56	-2.81	0.00	3.21	7.37	11.03	13.45	13.31	8.72	3.81	-0.06	-3.81	32.93	23.97	21.52	24.73	34.48	36.88	28.20	27.67	24.01	21.30	32.60	36.45
-119.37	55.17	722.0	-7.77	-4.07	1.75	10.31	16.73	19.92	21.88	21.14	16.23	9.70	-0.88	-5.85	-19.58	-16.30	-10.24	-2.79	2.84	6.92	8.74	7.61	3.18	-2.18	-11.12	-17.11	32.82	20.77	20.54	18.32	39.50	76.70	73.64	64.06	46.75	26.83	26.41	31.32
-113.66	53.32	710.0	-7.45	-3.94	1.68	11.07	17.69	20.78	22.53	21.93	16.94	11.04	-0.10	-5.56	-18.42	-15.61	-9.50	-1.90	3.71	7.92	9.84	8.77	3.83	-1.61	-10.19	-16.12	25.75	15.88	18.56	25.59	50.98	85.82	94.94	66.60	46.53	20.44	19.82	21.13
-113.03	50.93	919.0	-5.36	-1.87	3.66	12.08	17.77	21.73	24.43	24.16	18.61	12.67	2.05	-3.34	-17.04	-13.67	-8.41	-2.14	3.38	7.64	9.59	8.84	3.76	-1.84	-9.50	-14.93	16.16	11.16	19.08	23.01	52.99	60.28	53.18	46.00	39.10	13.01	14.14	14.92
-113.78	52.47	859.0	-6.92	-3.40	1.99	10.82	16.92	20.22	22.20	21.77	16.90	11.26	0.53	-5.01	-18.15	-15.34	-9.56	-2.26	3.23	7.44	9.27	8.26	3.36	-2.07	-10.14	-15.88	23.79	14.30	19.67	22.49	56.00	83.56	92.95	69.38	47.07	18.83	18.74	19.17
